text,true_emotion,pred_emotion,true_sub_emotion,pred_sub_emotion,true_intensity,pred_intensity,emotion_correct,sub_emotion_correct,intensity_correct,all_correct
on making it to your first photo challenge.,happiness,happiness,pride,confusion,moderate,mild,True,False,False,False
Success on this competition,happiness,happiness,optimism,remorse,moderate,moderate,True,False,True,False
almost guarantees you success in the industry.,happiness,happiness,optimism,remorse,moderate,moderate,True,False,True,False
So we want you excited.,happiness,happiness,excitement,confusion,moderate,moderate,True,False,True,False
We want you motivated.,happiness,happiness,approval,pride,mild,moderate,True,False,False,False
"Are you ready, girls?",happiness,neutral,excitement,desire,mild,mild,False,False,True,False
Good luck!,happiness,happiness,approval,remorse,mild,mild,True,False,True,False
It's my very first photo challenge,happiness,happiness,excitement,confusion,moderate,moderate,True,False,True,False
in Asia's Next Top Model.,happiness,happiness,pride,confusion,moderate,moderate,True,False,True,False
"I've been waiting for this, like, for my whole life,",happiness,happiness,excitement,confusion,strong,moderate,True,False,False,False
"so I'm very excited, but I was so scared also.",fear,fear,nervousness,disapproval,strong,moderate,True,False,False,False
"Being in the bottom three for the runaway task,",sadness,sadness,disappointment,disgust,moderate,moderate,True,False,True,False
"it was a lot of pressure,",fear,anger,nervousness,disapproval,moderate,moderate,False,False,True,False
"because I know I had to, like,",happiness,surprise,optimism,pride,moderate,mild,False,False,False,False
step up my game this time.,happiness,happiness,optimism,remorse,moderate,moderate,True,False,True,False
"I kind of was just like,",surprise,neutral,realization,pride,mild,mild,False,False,True,False
"okay, you know, Namita, like,",neutral,neutral,neutral,desire,mild,mild,True,False,True,False
gotta give it your all.,happiness,happiness,optimism,remorse,moderate,moderate,True,False,True,False
"But at the same time, I was just like,",surprise,surprise,confusion,pride,mild,mild,True,False,True,False
"shit, you know?",anger,anger,annoyance,disgust,moderate,moderate,True,False,True,False
"Hey, girls!",neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
"Gather around, please.",neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
"Probably some of you are excited,",happiness,happiness,excitement,confusion,mild,moderate,True,False,False,False
a little bit nervous.,fear,fear,nervousness,surprise,mild,moderate,True,False,False,False
I know what it feels like,surprise,surprise,realization,pride,mild,mild,True,False,True,False
"to be in a competition kind of situation,",fear,happiness,nervousness,disapproval,mild,mild,False,False,True,False
I've been there.,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
I'm not gonna be physically with you,neutral,disgust,neutral,disapproval,mild,moderate,False,False,False,False
"throughout the whole competition,",neutral,neutral,neutral,remorse,mild,mild,True,False,True,False
but Cindy did invite me to share some tips with you,happiness,happiness,approval,desire,mild,mild,True,False,True,False
through video messages,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
so that I can see how you girls are doing.,happiness,happiness,caring,desire,moderate,mild,True,False,False,False
This is basically one of your first challenges.,neutral,neutral,neutral,desire,mild,mild,True,False,True,False
You have a long way to go.,sadness,fear,disappointment,surprise,mild,moderate,False,False,False,False
"And also, people want somebody easy to work with,",neutral,happiness,neutral,desire,mild,mild,False,False,True,False
somebody who's professional.,neutral,happiness,neutral,remorse,mild,mild,False,False,True,False
It's very important.,neutral,surprise,neutral,pride,mild,moderate,False,False,False,False
"Good luck, girls.",happiness,happiness,approval,remorse,mild,mild,True,False,True,False
I'll be seeing you again.,neutral,neutral,neutral,remorse,mild,mild,True,False,True,False
Group hug!,happiness,happiness,caring,disapproval,moderate,moderate,True,False,True,False
"I'm the first girl,",fear,happiness,nervousness,remorse,moderate,mild,False,False,False,False
so I won't be able to see,sadness,neutral,disappointment,joy,mild,mild,False,False,True,False
what to do and what not to do.,surprise,surprise,confusion,pride,moderate,mild,True,False,False,False
"I'm kind of, like, nervous.",fear,fear,nervousness,surprise,mild,moderate,True,False,False,False
"All right, Jennika, your time starts now.",neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
"You're really missing the beat of the camera,",sadness,anger,disappointment,disgust,moderate,moderate,False,False,True,False
"so just really try to get it on the 1, 2, 3.",neutral,neutral,neutral,desire,mild,mild,True,False,True,False
Listen to his instructions carefully.,neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
It's not even a pretty dancer.,disgust,disgust,disapproval,disgust,moderate,moderate,True,False,True,False
It's very awkward-looking at the moment.,disgust,disgust,disapproval,disgust,moderate,mild,True,False,False,False
"Okay, ready.",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
I was kind of panicking,fear,fear,nervousness,disapproval,moderate,moderate,True,False,True,False
"because the judges were trying to help me out,",happiness,happiness,gratitude,disgust,mild,mild,True,False,True,False
"like, do this, do that.",surprise,neutral,confusion,surprise,mild,mild,False,False,True,False
You're coming down.,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
I'm kind of thinking I should have done better.,neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
Clara!,happiness,neutral,excitement,confusion,mild,mild,False,False,True,False
"Let's go. 1, 2, 3, go!",happiness,happiness,excitement,confusion,moderate,moderate,True,False,True,False
Yeah!,happiness,happiness,excitement,remorse,mild,mild,True,False,True,False
"1, 2, 3, go.",neutral,happiness,neutral,confusion,mild,mild,False,False,True,False
Good.,happiness,happiness,approval,desire,mild,mild,True,False,True,False
"1, 2, 3, let's go.",happiness,happiness,excitement,confusion,mild,moderate,True,False,False,False
"Yeah, she's got two.",happiness,happiness,approval,disgust,mild,mild,True,False,True,False
Today's photoshoot's so perfect for me.,happiness,happiness,joy,confusion,moderate,moderate,True,False,True,False
"Yes, yes, I want some more, just like that.",happiness,happiness,desire,confusion,moderate,moderate,True,False,True,False
"Okay, 1, 2, 3, go.",neutral,neutral,neutral,desire,mild,mild,True,False,True,False
"I like photographers who talk like,",happiness,happiness,approval,pride,mild,mild,True,False,True,False
"nice, good, amazing, so I can improve, right?",happiness,happiness,optimism,remorse,mild,mild,True,False,True,False
Yes!,happiness,happiness,excitement,confusion,mild,moderate,True,False,False,False
Beautiful.,happiness,happiness,admiration,disgust,mild,mild,True,False,True,False
Go.,neutral,neutral,neutral,remorse,mild,mild,True,False,True,False
Clara's doing really good.,happiness,happiness,admiration,remorse,moderate,mild,True,False,False,False
I'm very impressed.,happiness,happiness,admiration,confusion,moderate,moderate,True,False,True,False
"Okay, okay, I got my work cut out for me now.",neutral,happiness,neutral,remorse,mild,moderate,False,False,False,False
Well done!,happiness,happiness,approval,remorse,moderate,mild,True,False,False,False
"Angelica, up next.",neutral,neutral,neutral,remorse,mild,mild,True,False,True,False
"Okay, less like a bird, all right?",disgust,neutral,disapproval,pride,mild,mild,False,False,True,False
"More like a woman, okay?",neutral,neutral,neutral,pride,mild,mild,True,False,True,False
"When they started doing the shoot,",neutral,neutral,neutral,pride,mild,mild,True,False,True,False
"I was like, what was I gonna do,",surprise,surprise,confusion,confusion,moderate,mild,True,True,False,False
"what was I gonna do,",surprise,surprise,confusion,pride,moderate,mild,True,False,False,False
and then it just went blank.,surprise,surprise,confusion,confusion,strong,mild,True,True,False,False
Think about what your hands are doing and your face.,neutral,happiness,neutral,pride,mild,mild,False,False,True,False
"1, 2, 3, and go.",neutral,neutral,neutral,desire,mild,mild,True,False,True,False
Very well.,happiness,happiness,approval,remorse,mild,mild,True,False,True,False
