text,true_emotion,pred_emotion,true_sub_emotion,pred_sub_emotion,true_intensity,pred_intensity,emotion_correct,sub_emotion_correct,intensity_correct,all_correct
"It was my idea to come to Asia's Next Top Model, sorry, Veronica",happiness,happiness,pride,neutral,mild,mild,True,False,True,False
"Even if you're my twin sister, but I'm gonna win this there's two of us and only one winner",happiness,happiness,optimism,neutral,strong,mild,True,False,False,False
I,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"Am Jennica Sanchez, I am 20 years old and I'm from Philippines. I",neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
Really love fashion. So I started my fashion blog. I have,happiness,happiness,pride,neutral,moderate,mild,True,False,False,False
"70,000 followers in Instagram right now. They keep on commenting on my photos at the Jenica",happiness,happiness,pride,neutral,moderate,mild,True,False,False,False
Please join Asia's Next Top Model for me. I'm gonna do everything to go all the way to the top,happiness,happiness,optimism,neutral,strong,mild,True,False,False,False
My,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"Name is Clara. I'm 21 years old. I'm from Indonesia. I don't have brain. I mean, I'm not smart",neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
I just have this face. I'll just tell it,neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
"When I go to primary school, I get bullied",sadness,happiness,sadness,neutral,moderate,mild,False,False,False,False
I want to prove my primary school who bullied me the ugly ducking now become a pretty pretty face,happiness,happiness,optimism,neutral,strong,mild,True,False,False,False
Welcome ladies,neutral,fear,neutral,neutral,mild,mild,False,True,True,False
I'm Cara G McElroy and I am your model mentor for this season of Asia's Next Top Model,happiness,happiness,pride,neutral,moderate,mild,True,False,False,False
I've worked for many global ad campaigns and worked alongside,happiness,happiness,pride,neutral,moderate,mild,True,False,False,False
Supermodels like Cindy Crawford and Naomi Campbell,happiness,happiness,admiration,neutral,moderate,mild,True,False,False,False
Wow Cara is so beautiful. She's tall and she's so poised,happiness,happiness,admiration,neutral,strong,mild,True,False,False,False
Without first bringing out your amazing host,happiness,happiness,admiration,neutral,mild,mild,True,False,True,False
the gorgeous,happiness,fear,admiration,neutral,moderate,mild,False,False,False,False
your superstar,happiness,fear,admiration,neutral,moderate,mild,False,False,False,False
confidant the ever so graceful,happiness,happiness,admiration,neutral,moderate,mild,True,False,False,False
Cindy Bishop,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"It's Cindy she just walked across I was like, whoa",surprise,fear,surprise,neutral,strong,mild,False,False,False,False
"She is gorgeous. I'm like, yeah, she's from Thailand. She's happy. Hi",happiness,happiness,admiration,neutral,moderate,mild,True,False,False,False
So good to be back and I'm so excited to get to know each and every one of you beautiful ladies this season,happiness,happiness,excitement,neutral,strong,mild,True,False,False,False
It's all about celebrating,happiness,fear,joy,neutral,moderate,mild,False,False,False,False
Individuality and bringing out the best of the uniqueness that we see in all of you. We're not just looking for a pretty face,happiness,happiness,admiration,neutral,moderate,mild,True,False,False,False
We are looking for a supermodel a rising star someone who can set herself apart from the rest and stand out from the crowd,happiness,happiness,desire,neutral,moderate,mild,True,False,False,False
"99% I want to be the Asian list of model, but 100% I want to win",happiness,happiness,desire,neutral,strong,mild,True,False,False,False
14 beautiful women from all across Asia,neutral,fear,neutral,neutral,mild,mild,False,True,True,False
"So on that note ladies, welcome to Asia's next top model",happiness,happiness,excitement,neutral,moderate,mild,True,False,False,False
Starts right now,neutral,fear,neutral,neutral,mild,mild,False,True,True,False
"So Pia walks out with six male models, which are like half naked",happiness,happiness,amusement,neutral,mild,mild,True,False,True,False
beautiful abs and I'm thinking,happiness,happiness,desire,neutral,mild,mild,True,False,True,False
Damn,anger,happiness,annoyance,neutral,mild,mild,False,False,True,False
So ladies meet your first special guest of the competition,happiness,happiness,excitement,neutral,moderate,mild,True,False,False,False
Can't believe that Pia Wurtzbach is actually here,surprise,fear,surprise,neutral,moderate,mild,False,False,False,False
They will be your co-stars for your first,neutral,fear,neutral,neutral,mild,mild,False,True,True,False
Gorilla lingerie catwalk challenge and that's happening right now,happiness,happiness,amusement,neutral,moderate,mild,True,False,False,False
That's right girls you will be dressed in sexy lingerie as we set up a gorilla catwalk on this very bridge,happiness,happiness,excitement,neutral,moderate,mild,True,False,False,False
Usually I did better in runways and catwalk than Valerie,happiness,fear,pride,neutral,mild,mild,False,False,True,False
So I'm confident in this challenge that I will win over her,happiness,happiness,optimism,neutral,moderate,mild,True,False,False,False
Everyone looks really good in lingerie,happiness,fear,admiration,neutral,mild,mild,False,False,True,False
So intimidating,fear,fear,fear,neutral,moderate,mild,True,False,False,False
"Hello girls, are you excited for your first challenge?",happiness,happiness,excitement,neutral,mild,mild,True,False,True,False
When you walk out you have to choose one of the male models to be your co-star as you make your way down the runway,happiness,happiness,curiosity,neutral,mild,mild,True,False,True,False
"Then when you hit the end of the runway, you'll get another surprise",surprise,happiness,surprise,neutral,moderate,mild,False,False,False,False
So make sure you put your best foot forward because this is the first time,fear,happiness,nervousness,neutral,moderate,mild,False,False,False,False
"All right, I am scared I've never actually been on the runway so it's very nerve-wracking for me",fear,happiness,nervousness,neutral,strong,mild,False,False,False,False
If you feel a confident from the inside that's when you show it from the outside and that's what I want to do,happiness,happiness,optimism,neutral,moderate,mild,True,False,False,False
"Not bad, got a little bit of sass and attitude there our sweet Maureen",happiness,happiness,amusement,neutral,mild,mild,True,False,True,False
Pleasantly surprised Valerie,surprise,happiness,surprise,neutral,mild,mild,False,False,True,False
Really want to make an impression that me and Valerie we're different in our own ways,happiness,happiness,desire,neutral,moderate,mild,True,False,False,False
This is her twin right Veronica,happiness,happiness,curiosity,neutral,mild,mild,True,False,True,False
I like her walk a lot,happiness,fear,admiration,neutral,mild,mild,False,False,True,False
And her knees gorgeous,happiness,happiness,admiration,neutral,mild,mild,True,False,True,False
"My plan was to be myself, be really laid-back and show who I am.",happiness,happiness,optimism,neutral,mild,mild,True,False,True,False
"Oh shit, what should I do, what should I do?",fear,happiness,nervousness,neutral,strong,mild,False,False,False,False
I just feel like I need to update this.,surprise,happiness,realization,neutral,mild,mild,False,False,True,False
"When I look around all of the girls, the girl who has the best body is me.",happiness,happiness,pride,neutral,moderate,mild,True,False,False,False
"Oh, she's fierce.",happiness,fear,admiration,neutral,mild,mild,False,False,True,False
It's a bit too literal again with the car.,anger,fear,annoyance,neutral,mild,mild,False,False,True,False
I'm gonna rock it out like Heidi Klum does on the runway.,happiness,happiness,excitement,neutral,moderate,mild,True,False,False,False
"All the girls got good walks this year, I'm excited to see that.",happiness,happiness,excitement,neutral,moderate,mild,True,False,False,False
Sweet.,happiness,happiness,approval,neutral,mild,mild,True,False,True,False
This is Cindy.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
Cindy.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
You must be fierce to be fierce.,happiness,happiness,admiration,neutral,mild,mild,True,False,True,False
Fierce.,happiness,happiness,admiration,neutral,mild,mild,True,False,True,False
I love the action part.,happiness,fear,joy,neutral,mild,mild,False,False,True,False
You must do a runway and then go back with heels.,neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
"Oh my god, it's painful as hell.",disgust,happiness,disgust,neutral,strong,mild,False,False,False,False
"Okay, we've got Namita.",neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
"Since I've done many runways, I feel like I have this down.",happiness,happiness,pride,neutral,moderate,mild,True,False,False,False
Oh shit.,surprise,fear,surprise,neutral,moderate,mild,False,False,False,False
Well that was anywhere.,surprise,fear,confusion,neutral,mild,mild,False,False,True,False
I was literally not expecting that.,surprise,fear,surprise,neutral,moderate,mild,False,False,False,False
"Not sure about her walk though, she's a bit clumpy.",disgust,happiness,disapproval,neutral,mild,mild,False,False,True,False
But I like the attitude.,happiness,fear,approval,neutral,mild,mild,False,False,True,False
"We have Clara. Oh my god, she's gorgeous.",happiness,happiness,admiration,neutral,moderate,mild,True,False,False,False
I don't really like her walk.,disgust,fear,disapproval,neutral,mild,mild,False,False,True,False
Dorothy.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
Beautiful face.,happiness,happiness,admiration,neutral,mild,mild,True,False,True,False
Jennika.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"Oh, I like that little wink at the end.",happiness,fear,amusement,neutral,mild,mild,False,False,True,False
Angelica.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
Heidi.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
I'm not sure about her walk.,disgust,fear,disapproval,neutral,mild,mild,False,False,True,False
She just looks like she's walking with her boyfriend down the catwalk.,happiness,happiness,amusement,neutral,mild,mild,True,False,True,False
I don't have so much time to change the clothes.,anger,happiness,annoyance,neutral,mild,mild,False,False,True,False
I wear the high heels and run like crazy.,happiness,happiness,optimism,neutral,moderate,mild,True,False,False,False
Because my heart has a little bit like sick.,sadness,happiness,sadness,neutral,mild,mild,False,False,True,False
I cannot breathe when I run.,fear,fear,fear,neutral,moderate,mild,True,False,False,False
Oh my god.,surprise,happiness,surprise,neutral,mild,mild,False,False,True,False
I cannot see anything. I don't get enough oxygen.,fear,happiness,fear,neutral,strong,mild,False,False,False,False
It's my time to find my second world.,happiness,fear,optimism,neutral,moderate,mild,False,False,False,False
"If I don't finish this challenge, I will have to go home.",fear,happiness,fear,neutral,moderate,mild,False,False,False,False
I need to do my challenge.,happiness,happiness,optimism,neutral,moderate,mild,True,False,False,False
I just try my best.,happiness,fear,optimism,neutral,moderate,mild,False,False,False,False
"Oh, damn girl.",happiness,happiness,admiration,neutral,moderate,mild,True,False,False,False
She's burning up that catwalk.,happiness,fear,admiration,neutral,moderate,mild,False,False,False,False
She's got a lot of attitude.,happiness,fear,admiration,neutral,mild,mild,False,False,True,False
No way.,surprise,fear,surprise,neutral,mild,mild,False,False,True,False
This is a challenge.,neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
This competition means a lot to me,happiness,fear,optimism,neutral,moderate,mild,False,False,False,False
because I wanted to do something to get out of my comfort zone,happiness,happiness,optimism,neutral,moderate,mild,True,False,False,False
and prove myself and everyone that I can do it.,happiness,fear,optimism,neutral,moderate,mild,False,False,False,False
"Usually, Veronika always do the runway better than me.",neutral,fear,neutral,neutral,mild,mild,False,True,True,False
"But this time, I will prove to Veronika that I can do better.",happiness,happiness,optimism,neutral,moderate,mild,True,False,False,False
"Three years ago, I already tried to be here and I never give up.",happiness,happiness,optimism,neutral,strong,mild,True,False,False,False
"So, this is just a dream come true.",happiness,fear,joy,neutral,strong,mild,False,False,False,False
"To win this, I'm just going to focus on myself.",happiness,happiness,optimism,neutral,moderate,mild,True,False,False,False
I'm going to give my best.,happiness,fear,optimism,neutral,strong,mild,False,False,False,False
My strategy for this competition is to be consistent in what I want,happiness,fear,optimism,neutral,moderate,mild,False,False,False,False
I'm not just an ordinary girl.,happiness,fear,pride,neutral,moderate,mild,False,False,False,False
I think I have the potential and the body to be a great top model.,happiness,happiness,pride,neutral,moderate,mild,True,False,False,False
"Making it to this competition, it's a huge deal.",happiness,happiness,excitement,neutral,strong,mild,True,False,False,False
I wish to make it to the finish line and emerge first.,happiness,fear,desire,neutral,strong,mild,False,False,False,False
I think I deserve to be in Asia's Next Top Model,happiness,happiness,pride,neutral,moderate,mild,True,False,False,False
because I'm a very hardworking girl.,happiness,fear,pride,neutral,moderate,mild,False,False,False,False
I'm just going to put everything I have and nail it.,happiness,fear,optimism,neutral,strong,mild,False,False,False,False
and prove to myself that I can make it in the modeling industry.,happiness,happiness,optimism,neutral,strong,mild,True,False,False,False
Great job!,happiness,happiness,approval,neutral,mild,mild,True,False,True,False
I see the judges at the end of the runway.,fear,happiness,nervousness,neutral,moderate,mild,False,False,False,False
I don't know what's going on in their head.,surprise,happiness,confusion,neutral,moderate,mild,False,False,False,False
I feel like I own it and I have a chance to win the challenge.,happiness,happiness,optimism,neutral,moderate,mild,True,False,False,False
People talk about my heart is sick.,sadness,fear,sadness,neutral,moderate,mild,False,False,False,False
I come here to win this competition.,happiness,happiness,optimism,neutral,strong,mild,True,False,False,False
I think we got a good group of girls this year.,happiness,happiness,optimism,neutral,mild,mild,True,False,True,False
I do too.,neutral,fear,neutral,neutral,mild,mild,False,True,True,False
Yes! Yes!,happiness,happiness,excitement,neutral,strong,mild,True,False,False,False
"I see the pool and I'm like, I am in Bali.",happiness,happiness,excitement,neutral,strong,mild,True,False,False,False
"It's so surreal being in this competition, staying in a house like this.",happiness,happiness,excitement,neutral,moderate,mild,True,False,False,False
"Goodies! Oh my God, yes. Freestyle.",happiness,happiness,excitement,neutral,strong,mild,True,False,False,False
We have all strong personalities.,neutral,fear,neutral,neutral,mild,mild,False,True,True,False
"So guys, this is the rowdy Malaysian.",happiness,happiness,amusement,neutral,mild,mild,True,False,True,False
I'm the nice one.,happiness,fear,pride,neutral,mild,mild,False,False,True,False
It's good because we can talk to each other but it's bad at the same time,surprise,happiness,confusion,neutral,moderate,mild,False,False,False,False
I knew it!,surprise,fear,realization,neutral,moderate,mild,False,False,False,False
I sleep with twins.,neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
"They're twins, same personality.",neutral,fear,neutral,neutral,mild,mild,False,True,True,False
"If I talk to Veronica and then maybe after five minutes I talk to Valeria,",surprise,happiness,confusion,neutral,mild,mild,False,False,True,False
I cannot tell the difference.,surprise,fear,confusion,neutral,mild,mild,False,False,True,False
It's just so awkward.,fear,fear,embarrassment,neutral,moderate,mild,True,False,False,False
"I mean, sorry, first day.",fear,happiness,nervousness,neutral,mild,mild,False,False,True,False
"Living with the other six girls, I don't know what to feel.",surprise,happiness,confusion,neutral,moderate,mild,False,False,False,False
I just hope that there's less drama.,neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
"I just hope for the best, I think.",neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
"Guys, send me an email.",neutral,fear,neutral,neutral,mild,mild,False,True,True,False
"Hello, ladies.",neutral,fear,neutral,neutral,mild,mild,False,True,True,False
Welcome to your new model house.,neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
"As you're settling in, I must first explain to you how your scores work.",neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
"In order to keep you on your toes throughout this competition,",happiness,happiness,curiosity,neutral,mild,mild,True,False,True,False
each of you will earn a score after every challenge and photo shoot.,neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
"And at the end of every week, these two scores will be combined",neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
in order to determine who stays and who goes.,neutral,fear,neutral,neutral,mild,mild,False,True,True,False
"As you've all successfully completed your first challenge,",happiness,happiness,approval,neutral,mild,mild,True,False,True,False
here's where you stand at this point.,neutral,fear,neutral,neutral,mild,mild,False,True,True,False
"Good luck, girls.",neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
The one over Valerie is number one.,neutral,fear,neutral,neutral,mild,mild,False,True,True,False
And then with the other girls.,neutral,fear,neutral,neutral,mild,mild,False,True,True,False
Yes!,happiness,neutral,excitement,neutral,strong,mild,False,False,False,False
It's me!,happiness,fear,joy,neutral,strong,mild,False,False,False,False
I'm so happy.,happiness,happiness,joy,neutral,strong,mild,True,False,False,False
Good!,happiness,happiness,approval,neutral,mild,mild,True,False,True,False
And I got second!,surprise,fear,surprise,neutral,moderate,mild,False,False,False,False
What? Second?,surprise,happiness,surprise,neutral,moderate,mild,False,False,False,False
"Valerie, what are you doing to me, man?",anger,happiness,annoyance,neutral,moderate,mild,False,False,False,False
You're taking my place.,sadness,fear,disappointment,neutral,moderate,mild,False,False,False,False
It's supposed to be me.,sadness,fear,disappointment,neutral,moderate,mild,False,False,False,False
"Oh, my God!",surprise,happiness,surprise,neutral,strong,mild,False,False,False,False
I'm in top five.,happiness,happiness,excitement,neutral,strong,mild,True,False,False,False
"Maureen is third, and Jenica is fourth, and I'm the fifth.",neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
"And I'm pretty happy that all the Filipino girls are, you know, in the top five.",happiness,happiness,pride,neutral,moderate,mild,True,False,False,False
"So, watch out for the Philippines!",happiness,happiness,pride,neutral,moderate,mild,True,False,False,False
Whose name is on there?,happiness,fear,curiosity,neutral,mild,mild,False,False,True,False
Mine?,happiness,neutral,curiosity,neutral,mild,mild,False,False,True,False
"Namita, you're not in.",sadness,happiness,disappointment,neutral,moderate,mild,False,False,False,False
"Oh, my God.",surprise,happiness,surprise,neutral,mild,mild,False,False,True,False
"F**k me, man.",anger,fear,annoyance,neutral,strong,mild,False,False,False,False
I didn't perform as how I wanted to or like how I would have.,sadness,happiness,disappointment,neutral,moderate,mild,False,False,False,False
"Okay, bye, girls.",sadness,fear,sadness,neutral,mild,mild,False,False,True,False
"Don't say that, no.",neutral,fear,neutral,neutral,mild,mild,False,True,True,False
"So, yeah.",neutral,fear,neutral,neutral,mild,mild,False,True,True,False
Cindy Miao! Cindy Miao!,happiness,happiness,excitement,neutral,moderate,mild,True,False,False,False
Check your old self and step up with confidence.,happiness,happiness,optimism,neutral,moderate,mild,True,False,False,False
Because you just might run into the new you.,happiness,fear,optimism,neutral,moderate,mild,False,False,False,False
"Love, Cindy Miao.",happiness,happiness,caring,neutral,mild,mild,True,False,True,False
Is that makeover?,happiness,fear,curiosity,neutral,mild,mild,False,False,True,False
Who is that?,happiness,fear,curiosity,neutral,mild,mild,False,False,True,False
It's either a makeover or a snake.,happiness,fear,curiosity,neutral,mild,mild,False,False,True,False
It's something to do with a snake.,happiness,fear,curiosity,neutral,mild,mild,False,False,True,False
"We're all speculating, like, what could it be?",happiness,fear,curiosity,neutral,moderate,mild,False,False,False,False
But as a theme is expect the unexpected.,happiness,happiness,curiosity,neutral,mild,mild,True,False,True,False
"I have no idea, but I'm excited to find out.",happiness,happiness,excitement,neutral,moderate,mild,True,False,False,False
"Welcome, ladies, to your first photo challenge.",happiness,happiness,excitement,neutral,moderate,mild,True,False,False,False
It's all about high fashion and high energy.,happiness,fear,excitement,neutral,moderate,mild,False,False,False,False
And the theme is runaway model.,neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
"Yesterday, the challenge was a long marathon run,",neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
and now we're running again.,neutral,fear,neutral,neutral,mild,mild,False,True,True,False
"Okay, let's do this.",happiness,happiness,excitement,neutral,moderate,mild,True,False,False,False
"So, ladies, it's time to meet your photographer",neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
"from Calibre Pictures, Mr. Joel Lim.",neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
"Congratulations, ladies,",happiness,fear,approval,neutral,moderate,mild,False,False,False,False
on making it to your first photo challenge.,happiness,happiness,pride,neutral,moderate,mild,True,False,False,False
Success on this competition,happiness,happiness,optimism,neutral,moderate,mild,True,False,False,False
almost guarantees you success in the industry.,happiness,fear,optimism,neutral,moderate,mild,False,False,False,False
So we want you excited.,happiness,happiness,excitement,neutral,moderate,mild,True,False,False,False
We want you motivated.,happiness,fear,approval,neutral,mild,mild,False,False,True,False
"Are you ready, girls?",happiness,fear,excitement,neutral,mild,mild,False,False,True,False
Good luck!,happiness,happiness,approval,neutral,mild,mild,True,False,True,False
It's my very first photo challenge,happiness,fear,excitement,neutral,moderate,mild,False,False,False,False
in Asia's Next Top Model.,happiness,happiness,pride,neutral,moderate,mild,True,False,False,False
"I've been waiting for this, like, for my whole life,",happiness,happiness,excitement,neutral,strong,mild,True,False,False,False
"so I'm very excited, but I was so scared also.",fear,happiness,nervousness,neutral,strong,mild,False,False,False,False
"Being in the bottom three for the runaway task,",sadness,happiness,disappointment,neutral,moderate,mild,False,False,False,False
"it was a lot of pressure,",fear,fear,nervousness,neutral,moderate,mild,True,False,False,False
"because I know I had to, like,",happiness,fear,optimism,neutral,moderate,mild,False,False,False,False
step up my game this time.,happiness,fear,optimism,neutral,moderate,mild,False,False,False,False
"I kind of was just like,",surprise,fear,realization,neutral,mild,mild,False,False,True,False
"okay, you know, Namita, like,",neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
gotta give it your all.,happiness,fear,optimism,neutral,moderate,mild,False,False,False,False
"But at the same time, I was just like,",surprise,happiness,confusion,neutral,mild,mild,False,False,True,False
"shit, you know?",anger,fear,annoyance,neutral,moderate,mild,False,False,False,False
"Hey, girls!",neutral,fear,neutral,neutral,mild,mild,False,True,True,False
"Gather around, please.",neutral,fear,neutral,neutral,mild,mild,False,True,True,False
"Probably some of you are excited,",happiness,happiness,excitement,neutral,mild,mild,True,False,True,False
a little bit nervous.,fear,fear,nervousness,neutral,mild,mild,True,False,True,False
I know what it feels like,surprise,fear,realization,neutral,mild,mild,False,False,True,False
"to be in a competition kind of situation,",fear,fear,nervousness,neutral,mild,mild,True,False,True,False
I've been there.,neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
I'm not gonna be physically with you,neutral,fear,neutral,neutral,mild,mild,False,True,True,False
"throughout the whole competition,",neutral,fear,neutral,neutral,mild,mild,False,True,True,False
but Cindy did invite me to share some tips with you,happiness,happiness,approval,neutral,mild,mild,True,False,True,False
through video messages,neutral,fear,neutral,neutral,mild,mild,False,True,True,False
so that I can see how you girls are doing.,happiness,fear,caring,neutral,moderate,mild,False,False,False,False
This is basically one of your first challenges.,neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
You have a long way to go.,sadness,fear,disappointment,neutral,mild,mild,False,False,True,False
"And also, people want somebody easy to work with,",neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
somebody who's professional.,neutral,fear,neutral,neutral,mild,mild,False,True,True,False
It's very important.,neutral,fear,neutral,neutral,mild,mild,False,True,True,False
"Good luck, girls.",happiness,happiness,approval,neutral,mild,mild,True,False,True,False
I'll be seeing you again.,neutral,fear,neutral,neutral,mild,mild,False,True,True,False
Group hug!,happiness,happiness,caring,neutral,moderate,mild,True,False,False,False
"I'm the first girl,",fear,fear,nervousness,neutral,moderate,mild,True,False,False,False
so I won't be able to see,sadness,fear,disappointment,neutral,mild,mild,False,False,True,False
what to do and what not to do.,surprise,fear,confusion,neutral,moderate,mild,False,False,False,False
"I'm kind of, like, nervous.",fear,happiness,nervousness,neutral,mild,mild,False,False,True,False
"All right, Jennika, your time starts now.",neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
"You're really missing the beat of the camera,",sadness,fear,disappointment,neutral,moderate,mild,False,False,False,False
"so just really try to get it on the 1, 2, 3.",neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
Listen to his instructions carefully.,neutral,fear,neutral,neutral,mild,mild,False,True,True,False
It's not even a pretty dancer.,disgust,fear,disapproval,neutral,moderate,mild,False,False,False,False
It's very awkward-looking at the moment.,disgust,fear,disapproval,neutral,moderate,mild,False,False,False,False
"Okay, ready.",neutral,fear,neutral,neutral,mild,mild,False,True,True,False
I was kind of panicking,fear,fear,nervousness,neutral,moderate,mild,True,False,False,False
"because the judges were trying to help me out,",happiness,happiness,gratitude,neutral,mild,mild,True,False,True,False
"like, do this, do that.",surprise,fear,confusion,neutral,mild,mild,False,False,True,False
You're coming down.,neutral,fear,neutral,neutral,mild,mild,False,True,True,False
I'm kind of thinking I should have done better.,neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
Clara!,happiness,neutral,excitement,neutral,mild,mild,False,False,True,False
"Let's go. 1, 2, 3, go!",happiness,happiness,excitement,neutral,moderate,mild,True,False,False,False
Yeah!,happiness,fear,excitement,neutral,mild,mild,False,False,True,False
"1, 2, 3, go.",neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
Good.,happiness,happiness,approval,neutral,mild,mild,True,False,True,False
"1, 2, 3, let's go.",happiness,happiness,excitement,neutral,mild,mild,True,False,True,False
"Yeah, she's got two.",happiness,fear,approval,neutral,mild,mild,False,False,True,False
Today's photoshoot's so perfect for me.,happiness,happiness,joy,neutral,moderate,mild,True,False,False,False
"Yes, yes, I want some more, just like that.",happiness,fear,desire,neutral,moderate,mild,False,False,False,False
"Okay, 1, 2, 3, go.",neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
"I like photographers who talk like,",happiness,happiness,approval,neutral,mild,mild,True,False,True,False
"nice, good, amazing, so I can improve, right?",happiness,happiness,optimism,neutral,mild,mild,True,False,True,False
Yes!,happiness,neutral,excitement,neutral,mild,mild,False,False,True,False
Beautiful.,happiness,happiness,admiration,neutral,mild,mild,True,False,True,False
Go.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
Clara's doing really good.,happiness,fear,admiration,neutral,moderate,mild,False,False,False,False
I'm very impressed.,happiness,fear,admiration,neutral,moderate,mild,False,False,False,False
"Okay, okay, I got my work cut out for me now.",neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
Well done!,happiness,fear,approval,neutral,moderate,mild,False,False,False,False
"Angelica, up next.",neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
"Okay, less like a bird, all right?",disgust,fear,disapproval,neutral,mild,mild,False,False,True,False
"More like a woman, okay?",neutral,fear,neutral,neutral,mild,mild,False,True,True,False
"When they started doing the shoot,",neutral,fear,neutral,neutral,mild,mild,False,True,True,False
"I was like, what was I gonna do,",surprise,happiness,confusion,neutral,moderate,mild,False,False,False,False
"what was I gonna do,",surprise,fear,confusion,neutral,moderate,mild,False,False,False,False
and then it just went blank.,surprise,fear,confusion,neutral,strong,mild,False,False,False,False
Think about what your hands are doing and your face.,neutral,happiness,neutral,neutral,mild,mild,False,True,True,False
"1, 2, 3, and go.",neutral,fear,neutral,neutral,mild,mild,False,True,True,False
Very well.,happiness,fear,approval,neutral,mild,mild,False,False,True,False
Much better.,happiness,fear,approval,neutral,moderate,mild,False,False,False,False
"So much better, good job.",happiness,happiness,approval,neutral,moderate,mild,True,False,False,False
My shoot is like a rollercoaster ride.,happiness,fear,excitement,neutral,moderate,mild,False,False,False,False
"It's like Miss Karen, Miss Indira,",neutral,fear,neutral,neutral,mild,mild,False,True,True,False
