Start Time,End Time,Sentence,Corrected Sentence,Translation,Emotion,Intensity
"00:02:08,000","00:02:11,000",في طرف ثالث هو كان سبب الموضوع,في طرف ثالث هو كان سبب الموضوع,"At a third party, he was the cause of the topic",neutral,neutral
"00:02:12,000","00:02:16,000",يعني واحدة صديقتنا برضو هي اللي عملت الفتنة,يعني واحدة صديقتنا برضو هي اللي عملت الفتنة,يعني واحدة صديقتنا برضو هي اللي عملت الفتنة,anger,intense
"00:02:16,000","00:02:23,000",وأصرت أنها لازم تعمل فتنة بينتنا لأنه نحن كنا أكتر من أخوات يعني وازدقاء,وأصرت أنها لازم تعمل فتنة بينتنا لأنه نحن كنا أكتر من أخوات يعني وازدقاء,"And I insisted that it had to do the sedition of our evidence, because we were more than sisters, I mean and mere",,
"00:02:23,000","00:02:27,000",فنجحت في الموضوع والحمد لله,فنجحت في الموضوع والحمد لله,"I succeeded in the topic, praise be to God",relief,moderate
"00:02:27,000","00:02:31,000",بس انتي ليش شكيتي بمشاعر انه في علاقة مع زوجك,بس انتي ليش شكيتي بمشاعر انه في علاقة مع زوجك,But why did you complain about feelings that he is in a relationship with your husband,confusion,moderate
"00:02:31,000","00:02:33,000",من الطرف الثالث جاب لي دليل,من الطرف الثالث جاب لي دليل,"From the third party, I answered me a guide",curiosity,mild
"00:02:33,000","00:02:34,000",شو الدليل,شو الدليل,What is the evidence,curiosity,mild
"00:02:34,000","00:02:36,000",معلش يعني,معلش يعني,I mean,neutral,neutral
"00:02:36,000","00:02:40,000",فتسجيل على الموبايل,فتسجيل على الموبايل,Register on the mobile,neutral,neutral
"00:02:40,000","00:02:42,000",كلام بين بعض,كلام بين بعض,Talk between some,neutral,neutral
"00:02:42,000","00:02:44,000",هو الدليل استغل لغلط أصلاً يعني,هو الدليل استغل لغلط أصلاً يعني,It is the evidence that was originally used as a mistake,realization,moderate
"00:02:44,000","00:02:50,000",فجابوه وقالو لي ده الدليل بأنه مشاعراً يعني,فجابوه وقالو لي ده الدليل بأنه مشاعراً يعني,فجابوه وقالو لي ده الدليل بأنه مشاعراً يعني,neutral,neutral
"00:02:50,000","00:02:52,000",بتخونك وكده يعني,بتخونك وكده يعني,بتخونك وكده يعني,disapproval,moderate
"00:02:52,000","00:02:56,000",فساعتها ما فكرتش أنه الكلام ده صح ولا غلط المهم,فساعتها ما فكرتش أنه الكلام ده صح ولا غلط المهم,فساعتها ما فكرتش أنه الكلام ده صح ولا غلط المهم,confusion,moderate
"00:02:56,000","00:02:58,000",زئلت,زئلت,Destalfees,neutral,neutral
"00:02:58,000","00:03:01,000",زئلت وعلى طول شكيت في الموضوع يعني أصلاً,زئلت وعلى طول شكيت في الموضوع يعني أصلاً,"I got up and along the topic, I mean, originally",neutral,neutral
"00:03:01,000","00:03:02,000",وكيف واجهتيها المشاعر,وكيف واجهتيها المشاعر,And how did you face feelings,curiosity,mild
"00:03:02,000","00:03:04,000",فروحتي واجهتها,فروحتي واجهتها,My spirit faced it,optimism,moderate
"00:03:04,000","00:03:08,000",بيقولي الكلام ده مصدحة غلط أصلاً يعني مافيش كلام بالشكل ده,بيقولي الكلام ده مصدحة غلط أصلاً يعني مافيش كلام بالشكل ده,بيقولي الكلام ده مصدحة غلط أصلاً يعني مافيش كلام بالشكل ده,annoyance,moderate
"00:03:08,000","00:03:10,000",بقولها طيب والدليل اللي عندي,بقولها طيب والدليل اللي عندي,بقولها طيب والدليل اللي عندي,curiosity,mild
"00:03:10,000","00:03:13,000",بتقولي لا الدليل ده يعني استغلوا غلط,بتقولي لا الدليل ده يعني استغلوا غلط,بتقولي لا الدليل ده يعني استغلوا غلط,annoyance,moderate
"00:03:13,000","00:03:16,000",وانتي ركزي كويس وبيشوفي,وانتي ركزي كويس وبيشوفي,And you focus well and Bishovi,neutral,neutral
"00:03:16,000","00:03:19,000",فساعتها الشيطان كان شاطر والغضب عمع عيوني,فساعتها الشيطان كان شاطر والغضب عمع عيوني,"Satan clock was Shater and anger, my eyes",anger,intense
"00:03:19,000","00:03:23,000",وصدقتي الدليل بغض النظر عن هي أصلاً حبيتي,وصدقتي الدليل بغض النظر عن هي أصلاً حبيتي,And I believed the evidence regardless of it is originally my love,confusion,mild
"00:03:23,000","00:03:29,000",فبعد فترة رجحت نفسي وجيت ليتهم الموضوع أصلاً كله تلفيق في تلفيق,فبعد فترة رجحت نفسي وجيت ليتهم الموضوع أصلاً كله تلفيق في تلفيق,"After a while, I listed myself and came to accuse the topic, all of all fabricated fabrication",disapproval,moderate
"00:03:29,000","00:03:30,000",طيب زوجك شو قال,طيب زوجك شو قال,"Ok, your husband, what said",curiosity,mild
"00:03:30,000","00:03:33,000",وقف في صفها والديتي وقفت في صفها,وقف في صفها والديتي وقفت في صفها,He stood up in her classes and stood on her class,neutral,neutral
"00:03:33,000","00:03:36,000",فيعني كل الأسرة يعني وقفوا في صفها,فيعني كل الأسرة يعني وقفوا في صفها,"It means all the family, I mean, they stood in its class",neutral,neutral
"00:03:36,000","00:03:39,000",طيب انتي لما شكيتي بمشاعر وعلاقتها بزوجك,طيب انتي لما شكيتي بمشاعر وعلاقتها بزوجك,"Ok, when you complained about feelings and her relationship with your husband",curiosity,mild
"00:03:39,000","00:03:42,000",ما شكيتي بزوجك ما واجهتيه أيضاً,ما شكيتي بزوجك ما واجهتيه أيضاً,"What you complained about your husband, what you faced as well",curiosity,mild
"00:03:42,000","00:03:44,000",والله ما الحكاية دي محطرتش في بالي,والله ما الحكاية دي محطرتش في بالي,والله ما الحكاية دي محطرتش في بالي,neutral,neutral
"00:03:44,000","00:03:48,000",لأنه كان الدليل قدامي خلاص عيوني دعمت يعني عن الحقيقة,لأنه كان الدليل قدامي خلاص عيوني دعمت يعني عن الحقيقة,"Because the evidence was before me the salvation of my eyes, I supported the truth",pride,moderate
"00:03:48,000","00:03:51,000",طيب زوجك اعترف انه في شيء ومشاعر,طيب زوجك اعترف انه في شيء ومشاعر,"Ok, your husband admit that he is in something and feelings",curiosity,mild
"00:03:51,000","00:03:54,000",طبعاً حاجة من ده كله يعني مفيش,طبعاً حاجة من ده كله يعني مفيش,طبعاً حاجة من ده كله يعني مفيش,disapproval,mild
"00:03:54,000","00:03:56,000",يقوله تلفيق في تلفيق يعني,يقوله تلفيق في تلفيق يعني,He says fabrication in fabrication means,disapproval,moderate
"00:03:56,000","00:04:01,000",ده هو قالي انتي قبل ما تسرقي احكمي في الموضوع بمنطق يعني,ده هو قالي انتي قبل ما تسرقي احكمي في الموضوع بمنطق يعني,"This is what you said before you steal my judgment in the subject with a logic, I mean",annoyance,moderate
"00:04:01,000","00:04:07,000",وكل هالوقت انتي ما قدرتي تبرريلها لمشاعر,وكل هالوقت انتي ما قدرتي تبرريلها لمشاعر,"And all this time, you are not able to feel feelings",sadness,moderate
"00:04:07,000","00:04:10,000",لا حاولتي هي رفضت ومعاها الحق يعني,لا حاولتي هي رفضت ومعاها الحق يعني,"No, you tried to refuse and with her the right, I mean",disapproval,mild
"00:04:10,000","00:04:13,000",لو أنا كنت محاللها كنتي اتصرفتي نفس التصرف,لو أنا كنت محاللها كنتي اتصرفتي نفس التصرف,"If I were analyzing it, you would have behaved the same behavior",realization,mild
"00:04:13,000","00:04:16,000",يعني حاولتي كتير جرحتها,يعني حاولتي كتير جرحتها,يعني حاولتي كتير جرحتها,remorse,moderate
"00:04:16,000","00:04:18,000",بالجد جرحتها,بالجد جرحتها,Bedouin her wound,sadness,mild
"00:04:18,000","00:04:22,000",فحاولت كتير اصالحها واجسامهم والدها ورجاحها ليه تاني,فحاولت كتير اصالحها واجسامهم والدها ورجاحها ليه تاني,فحاولت كتير اصالحها واجسامهم والدها ورجاحها ليه تاني,caring,moderate
"00:04:22,000","00:04:25,000",فهي رفضت ومعاها الحق طبعاً,فهي رفضت ومعاها الحق طبعاً,"She rejected and with her the right, of course",disappointment,moderate
"00:04:25,000","00:04:29,000",طيب شو بتعتقدي يعني كيف طبيعتها هي كيف اخلاقها,طيب شو بتعتقدي يعني كيف طبيعتها هي كيف اخلاقها,"Ok, what do you think?",curiosity,mild
"00:04:29,000","00:04:32,000",ممكن تسامحيك,ممكن تسامحيك,Can you forgive you,curiosity,mild
"00:04:32,000","00:04:34,000",اتمنى,اتمنى,I hope,optimism,mild
"00:04:34,000","00:04:36,000",بس كيف بتعرفيها انتي,بس كيف بتعرفيها انتي,But how do you know it?,curiosity,mild
"00:04:36,000","00:04:38,000",اتمنى هي حنينة وقلبها كبير,اتمنى هي حنينة وقلبها كبير,I hope she is a large heart and her heart is great,admiration,mild
"00:04:38,000","00:04:40,000",اتمنى,اتمنى,I hope,optimism,mild
"00:04:40,000","00:04:42,000",يا ستي نحنا,يا ستي نحنا,"O City, we are",neutral,neutral
"00:04:42,000","00:04:47,000",انا ارسلت الرسالة الى مشاعر,انا ارسلت الرسالة الى مشاعر,I sent the message to feelings,neutral,neutral
"00:04:47,000","00:04:51,000",خلينا نشوف سوى اذا كان سلبتها,خلينا نشوف سوى اذا كان سلبتها,Let us see only if it was robbed,curiosity,mild
"00:04:51,000","00:04:53,000",وشو ردها وشو تعليقها,وشو ردها وشو تعليقها,What did she reply to her comment?,curiosity,mild
"00:04:53,000","00:04:55,000",واذا كانت راح تجي الى الستوديو,واذا كانت راح تجي الى الستوديو,And if she will come to the studio,curiosity,mild
"00:04:55,000","00:04:56,000",شكراً,شكراً,Thanks,gratitude,mild
"00:04:56,000","00:04:57,000",تفضل,تفضل,Help yourself,neutral,neutral
"00:05:08,000","00:05:09,000",اهلا نصر جورج,اهلا نصر جورج,Hello Nasr George,neutral,neutral
"00:05:09,000","00:05:10,000",النهاردة مشوارنا في المهنسين,النهاردة مشوارنا في المهنسين,Today is our journey in the majestin,neutral,neutral
"00:05:10,000","00:05:12,000",وبالتحديد في جامعة الدول العربية,وبالتحديد في جامعة الدول العربية,Specifically in the League of Arab States,neutral,neutral
"00:05:12,000","00:05:15,000",عشان نسلم مشاعر ادريس دعوة حضور,عشان نسلم مشاعر ادريس دعوة حضور,عشان نسلم مشاعر ادريس دعوة حضور,neutral,neutral
"00:05:22,000","00:05:23,000",استاذ جورج,استاذ جورج,Professor George,neutral,neutral
"00:05:23,000","00:05:25,000",احنا دلوقتي في المهنسين,احنا دلوقتي في المهنسين,We are now in the majestin,neutral,neutral
"00:05:25,000","00:05:28,000",وقربنا نوصل لمشاعر عشان نسلمها دعوة حضور,وقربنا نوصل لمشاعر عشان نسلمها دعوة حضور,وقربنا نوصل لمشاعر عشان نسلمها دعوة حضور,neutral,neutral
"00:05:51,000","00:06:06,000",موسيقى,موسيقى,music,neutral,neutral
"00:06:06,000","00:06:07,000",صباح الخير,صباح الخير,Good morning,neutral,neutral
"00:06:07,000","00:06:08,000",صباح الخير,صباح الخير,Good morning,neutral,neutral
"00:06:08,000","00:06:09,000",عليك الاستاذ مشاعر,عليك الاستاذ مشاعر,You have to feel feelings,neutral,neutral
"00:06:09,000","00:06:10,000",مشاعر ادريس,مشاعر ادريس,Idris feelings,neutral,neutral
"00:06:10,000","00:06:12,000",26 سنة مظبوط,26 سنة مظبوط,26 years old,neutral,neutral
"00:06:12,000","00:06:13,000",هاي في شغلك وفيرا,هاي في شغلك وفيرا,"Hi, in your work and Vera",neutral,neutral
"00:06:13,000","00:06:16,000",انا مودي من برنامج الاستاذ جورج القرداحي,انا مودي من برنامج الاستاذ جورج القرداحي,I am Modi from the program of Professor George Al -Qirdahi,neutral,neutral
"00:06:16,000","00:06:18,000",ودي دعوة حضور الحضور البرنامج,ودي دعوة حضور الحضور البرنامج,This is the invitation to attend the program,neutral,neutral
"00:06:18,000","00:06:19,000",حضرك قبلت الدعوة,حضرك قبلت الدعوة,You accepted the invitation,approval,mild
"00:06:19,000","00:06:20,000",قبلت الدعوة,قبلت الدعوة,I accepted the invitation,approval,mild
"00:06:20,000","00:06:22,000",ان شاء الله واحنا في انتظارك,ان شاء الله واحنا في انتظارك,"God willing, and we are waiting for you",optimism,mild
"00:06:22,000","00:06:23,000",استاذ جورج,استاذ جورج,Professor George,neutral,neutral
"00:06:23,000","00:06:25,000",مشاعر قبلت دعوتك واحنا في انتظارها ان شاء الله,مشاعر قبلت دعوتك واحنا في انتظارها ان شاء الله,"Feelings accepted your invitation and we are waiting for them, God willing",optimism,mild
"00:06:25,000","00:06:28,000",موسيقى,موسيقى,music,neutral,neutral
"00:06:28,000","00:06:29,000",اهلا,اهلا,Hello,neutral,neutral
"00:06:29,000","00:06:30,000",مرحبا,مرحبا,Welcome,neutral,neutral
"00:06:31,000","00:06:32,000",مرحبا,مرحبا,Welcome,neutral,neutral
"00:06:32,000","00:06:33,000",اهلا اهلا ست مشاعر,اهلا اهلا ست مشاعر,"Hello, six feelings",neutral,neutral
"00:06:33,000","00:06:34,000",اهلا تفضلي,اهلا تفضلي,"Hello, please",neutral,neutral
"00:06:34,000","00:06:35,000",يسلام يا رب,يسلام يا رب,"Peace be upon you, O Lord",neutral,neutral
"00:06:35,000","00:06:36,000",كيف احوالك؟,كيف احوالك؟,How do you conditions?,curiosity,mild
"00:06:36,000","00:06:37,000",الحمد لله,الحمد لله,Thank God,gratitude,mild
"00:06:37,000","00:06:38,000",انتي مشاعر بالرأ,انتي مشاعر بالرأ,You are feelings of innocence,neutral,neutral
"00:06:38,000","00:06:40,000",في مشاعر كمان باللام,في مشاعر كمان باللام,In feelings of blame,disapproval,mild
"00:06:40,000","00:06:41,000",انا بالرأ,انا بالرأ,I am innocent,neutral,neutral
"00:06:41,000","00:06:42,000",انتي بالرأ,انتي بالرأ,You are innocent,neutral,neutral
"00:06:42,000","00:06:43,000",اه,اه,Yes,neutral,neutral
"00:06:43,000","00:06:46,000",انتو من الخرطوم من نفس الخرطوم الاصل؟,انتو من الخرطوم من نفس الخرطوم الاصل؟,Are you from Khartoum from the same original hose?,curiosity,mild
"00:06:46,000","00:06:47,000",لا من بورسودان الاصل,لا من بورسودان الاصل,"No from Port Sudan, the original",neutral,neutral
"00:06:47,000","00:06:48,000",من بورسودان,من بورسودان,From Port Sudan,neutral,neutral
"00:06:48,000","00:06:49,000",شرق السور,شرق السور,East of the fence,neutral,neutral
"00:06:49,000","00:06:51,000",كم عايشين في مصر؟,كم عايشين في مصر؟,How much do you live in Egypt?,curiosity,mild
"00:06:51,000","00:06:53,000",بالله انا مش عايشة على طول,بالله انا مش عايشة على طول,"By God, I do not live along",neutral,neutral
"00:06:53,000","00:06:55,000",بس باقي في السنة تلات اربع مرات كده,بس باقي في السنة تلات اربع مرات كده,بس باقي في السنة تلات اربع مرات كده,neutral,neutral
"00:06:55,000","00:06:57,000",وحاليا من عايشة؟ بورسودان؟,وحاليا من عايشة؟ بورسودان؟,"Currently, from Aisha? Port Sudan?",curiosity,mild
"00:06:57,000","00:06:58,000",في بورسودان,في بورسودان,In Port Sudan,neutral,neutral
"00:06:58,000","00:06:59,000",انتي وزوجك؟,انتي وزوجك؟,You and your husband?,curiosity,mild
"00:06:59,000","00:07:00,000",لا,لا,no,neutral,neutral
"00:07:00,000","00:07:01,000",اه,اه,Yes,neutral,neutral
"00:07:01,000","00:07:02,000",عائلتي يعني,عائلتي يعني,My family means,neutral,neutral
"00:07:02,000","00:07:03,000",انتي وعائلتك؟,انتي وعائلتك؟,You and your family?,curiosity,mild
"00:07:03,000","00:07:04,000",اه,اه,Yes,neutral,neutral
"00:07:04,000","00:07:05,000",لش منطلقتي؟,لش منطلقتي؟,"No, my start?",confusion,mild
"00:07:05,000","00:07:06,000",اه,اه,Yes,neutral,neutral
"00:07:06,000","00:07:07,000",ليه؟ شو السبب؟,ليه؟ شو السبب؟,for him? What is the reason?,curiosity,mild
"00:07:07,000","00:07:08,000",خلص,خلص,Get rid of,neutral,neutral
"00:07:08,000","00:07:09,000",جسد من جهد,جسد من جهد,Voltage,neutral,neutral
"00:07:09,000","00:07:10,000",شو عندك اولاد؟,شو عندك اولاد؟,What do you have children?,curiosity,mild
"00:07:10,000","00:07:11,000",معايا خالد الحمد لله,معايا خالد الحمد لله,"With me Khaled, praise be to God",gratitude,mild
"00:07:11,000","00:07:12,000",كم عمره خالد؟,كم عمره خالد؟,How old is Khaled?,curiosity,mild
"00:07:12,000","00:07:13,000",عشر,عشر,ten,neutral,neutral
"00:07:13,000","00:07:14,000",عشر سنوات ومعاكي؟,عشر سنوات ومعاكي؟,Ten years and with you?,curiosity,mild
"00:07:14,000","00:07:15,000",الحمد لله,الحمد لله,Thank God,gratitude,mild
"00:07:15,000","00:07:17,000",وزوجك شو بيعمل السابق؟,وزوجك شو بيعمل السابق؟,"And your husband, what do you do?",curiosity,mild
"00:07:17,000","00:07:18,000",كان مهندس كهرباء,كان مهندس كهرباء,He was an electrical engineer,neutral,neutral
"00:07:18,000","00:07:19,000",مهندس كهرباء؟,مهندس كهرباء؟,Electrical engineer?,curiosity,mild
"00:07:19,000","00:07:20,000",نعم,نعم,Yes,neutral,neutral
"00:07:20,000","00:07:22,000",طمنينا كيف الاحوال بالسودان؟,طمنينا كيف الاحوال بالسودان؟,We reassured how the conditions in Sudan?,curiosity,mild
"00:07:22,000","00:07:23,000",الامور كلها بخير؟,الامور كلها بخير؟,All things are fine?,curiosity,mild
"00:07:23,000","00:07:24,000",الحمد لله,الحمد لله,Thank God,gratitude,mild
"00:07:24,000","00:07:25,000",الحمد لله,الحمد لله,Thank God,gratitude,mild
"00:07:25,000","00:07:28,000",مشاعر الحقيقة مش انا اللي دعايكي,مشاعر الحقيقة مش انا اللي دعايكي,مشاعر الحقيقة مش انا اللي دعايكي,neutral,neutral
"00:07:28,000","00:07:30,000",انتي جيتي ضيفي لعندي,انتي جيتي ضيفي لعندي,You come to my guest to me,neutral,neutral
"00:07:30,000","00:07:31,000",واهلا وسهلا فيكي,واهلا وسهلا فيكي,And welcome to you,approval,mild
"00:07:31,000","00:07:32,000",وشرفتي,وشرفتي,Esflaphed,confusion,mild
"00:07:32,000","00:07:34,000",بس في حدا ورايه,بس في حدا ورايه,بس في حدا ورايه,nervousness,mild
"00:07:34,000","00:07:35,000",هو دعاكي,هو دعاكي,It is my invitation,neutral,neutral
"00:07:36,000","00:07:38,000",بس يدعاني باسمك,بس يدعاني باسمك,But he calls me in your name,confusion,mild
"00:07:38,000","00:07:39,000",باسمي؟,باسمي؟,In my name?,confusion,mild
"00:07:39,000","00:07:40,000",يعني انا وجهتلك الدعوة,يعني انا وجهتلك الدعوة,"I mean, I gave you the invitation",neutral,neutral
"00:07:40,000","00:07:41,000",اه,اه,Yes,neutral,neutral
"00:07:41,000","00:07:42,000",وشرفتيني,وشرفتيني,Sugah-iahh,confusion,mild
"00:07:42,000","00:07:43,000",لانه لو بيدعيكي هو ما كنت جيتي,لانه لو بيدعيكي هو ما كنت جيتي,"Because if he called you, I wouldn't have come",disapproval,mild
"00:07:43,000","00:07:44,000",صح؟,صح؟,correct?,neutral,neutral
"00:07:44,000","00:07:45,000",صح,صح,correct,neutral,neutral
"00:07:45,000","00:07:47,000",بس انا دعيتك عشان تجي,بس انا دعيتك عشان تجي,بس انا دعيتك عشان تجي,neutral,neutral
"00:07:47,000","00:07:49,000",بتحبي تعرفي مين دعاكي؟,بتحبي تعرفي مين دعاكي؟,Do you like to know who invited you?,curiosity,mild
"00:07:51,000","00:07:52,000",وانت,وانت,And you,neutral,neutral
"00:07:52,000","00:07:55,000",ايه بس لأ الشخص الحقيقي يلي دعاكي,ايه بس لأ الشخص الحقيقي يلي دعاكي,"E, but for the real person, let you call you",confusion,mild
"00:07:55,000","00:07:56,000",بتحبي تعرفي من هو؟,بتحبي تعرفي من هو؟,Do you like to know who is it?,curiosity,mild
"00:07:57,000","00:07:58,000",طلعي بهالشاشة,طلعي بهالشاشة,Talk to the screen,neutral,neutral
"00:08:03,000","00:08:04,000",ده,ده,Is,neutral,neutral
"00:08:07,000","00:08:11,000",ده قلتليك شخص فكرت انتي مذكر يعني,ده قلتليك شخص فكرت انتي مذكر يعني,"This told you someone I thought you are a masculine, I mean",confusion,mild
"00:08:11,000","00:08:12,000",لا مؤنث,لا مؤنث,Not feminine,confusion,mild
"00:08:14,000","00:08:15,000",هي سد دعتك,هي سد دعتك,It is a blocker,confusion,mild
"00:08:17,000","00:08:19,000",انا مش كنت جايلي ها ماليش للأسف,انا مش كنت جايلي ها ماليش للأسف,"Unfortunately, I was not Jelly",disappointment,mild
"00:08:20,000","00:08:21,000",بالجد أنا كنت جاي عشانك مش عشاني,بالجد أنا كنت جاي عشانك مش عشاني,بالجد أنا كنت جاي عشانك مش عشاني,caring,mild
"00:08:22,000","00:08:24,000",وبعدك جاي عشاني وانا بشكرك حبيبتي,وبعدك جاي عشاني وانا بشكرك حبيبتي,وبعدك جاي عشاني وانا بشكرك حبيبتي,gratitude,mild
"00:08:24,000","00:08:27,000",انا بشكرك من كل قلبي والله,انا بشكرك من كل قلبي والله,I thank you with all my heart and God,gratitude,moderate
"00:08:27,000","00:08:28,000",وانا بعرف انك جاي عشاني مش عشانة,وانا بعرف انك جاي عشاني مش عشانة,وانا بعرف انك جاي عشاني مش عشانة,caring,mild
"00:08:29,000","00:08:29,000",وكل الناس عارفين,وكل الناس عارفين,And all people know,neutral,neutral
"00:08:30,000","00:08:32,000",انك جاي عشاني مش عشانة,انك جاي عشاني مش عشانة,انك جاي عشاني مش عشانة,caring,mild
"00:08:32,000","00:08:34,000",وهي عارفة,وهي عارفة,She knows,neutral,neutral
"00:08:34,000","00:08:35,000",وهي عارفة,وهي عارفة,She knows,neutral,neutral
"00:08:36,000","00:08:38,000",مدهش ايه كده هلبتيلي معواجع بيجاني,مدهش ايه كده هلبتيلي معواجع بيجاني,What is this amazing,surprise,mild
"00:08:38,000","00:08:39,000",مشاعر لحظة لحظة,مشاعر لحظة لحظة,Feelings of the moment of the moment,confusion,mild
